id,latitude,longitude,year,name,sex,bottom_depth,surface_temperature,bottom_temperature,haul,cpue
147038,57,-166.45,1975,snow crab,male,71,9.1,1.1,117,40356
147037,57,-167.08333,1975,snow crab,male,71,8.7,1.4,118,68691
147036,57,-167.68333,1975,snow crab,male,75,8.8,1.6,139,119748
147035,56.66667,-172.56667,1975,snow crab,male,132,6.1,2.5,89,7882
147034,56.66667,-171.96667,1975,snow crab,male,123,5.7,2.1,90,11258
147033,56.66667,-171.33333,1975,snow crab,male,119,5.7,2.5,91,6492
147032,56.66667,-170.73333,1975,snow crab,male,110,6,2.4,94,6341
147004,56.35,-165.23333,1975,snow crab,male,84,7.2,0.5,107,11228
147027,56.68333,-161,1975,snow crab,male,66,2,0.8,16,207
147026,56.66667,-161.65,1975,snow crab,male,90,1.8,1.3,11,829
147024,56.65,-162.75,1975,snow crab,male,73,2.5,0.4,5,15852
147023,56.66667,-163.4,1975,snow crab,male,73,4.6,0.3,47,40817
147022,56.66667,-163.98333,1975,snow crab,male,71,9.6,1.5,110,86525
147021,56.66667,-164.61667,1975,snow crab,male,71,9.2,1.3,109,210164
147009,56.35,-162.2,1975,snow crab,male,82,3.9,0.8,7,1189
147010,56.31667,-161.6,1975,snow crab,male,62,2.7,1.4,10,1174
147011,56.33333,-168.23333,1975,snow crab,male,152,5.8,3.1,75,10106
147012,56.33333,-168.88333,1975,snow crab,male,130,5.3,2.7,76,10291
147013,56.35,-169.43333,1975,snow crab,male,143,5.2,2.7,77,1651
147014,56.33333,-170.06667,1975,snow crab,male,106,6.2,3.1,96,3831
147015,56.33333,-170.7,1975,snow crab,male,121,6,2.7,93,11030
147016,56.66667,-167.7,1975,snow crab,male,101,8.8,1.6,141,6906
147017,56.66667,-167.06667,1975,snow crab,male,95,8.8,2.1,142,22919
147018,56.66667,-166.41667,1975,snow crab,male,80,9.7,0.7,116,40686
147019,56.7,-165.86667,1975,snow crab,male,75,9.3,0.8,115,174502
147020,56.66667,-165.23333,1975,snow crab,male,73,7.9,1.1,108,65521
147003,56.35,-165.83333,1975,snow crab,male,88,8.8,1.6,106,19753
147002,56.35,-166.43333,1975,snow crab,male,99,8.3,2.8,105,16408
146323,55.68333,-164.01667,1975,snow crab,male,91,5.6,2.5,57,1849
146324,55.68333,-163.38333,1975,snow crab,male,80,5.6,2,56,5812
146325,55.65,-162.86667,1975,snow crab,male,53,4.5,1.6,2,414
146326,56.01667,-167.61667,1975,snow crab,male,128,5.5,3.1,73,4293
146327,56,-167,1975,snow crab,male,130,9,4,145,7596
146328,56,-166.4,1975,snow crab,male,121,9,3.5,104,3453
146329,55.99167,-165.8,1975,snow crab,male,106,5,2.8,62,2840
