featurecla,name,namealt,changed,note,name_fr,min_label,max_label,scalerank,label,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_fa,name_he,name_uk,name_ur,name_zht,oceanbasin,subbasin
bay,Bay of Bengal,,Version 5.2,,golfe du Bengale,2.0,7.5,1,Bay of Bengal,Q38684,╪«┘ä┘è╪¼ ╪º┘ä╪¿┘å╪║╪º┘ä,αª¼αªÖαºìαªùαºïαª¬αª╕αª╛αªùαª░,Golf von Bengalen,Bay of Bengal,Bah├¡a de Bengala,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬╖╧é ╬Æ╬╡╬│╬│╬¼╬╗╬╖╧é,αñ¼αñéαñùαñ╛αñ▓ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Beng├íli-├╢b├╢l,Teluk Benggala,golfo del Bengala,πâÖπâ│πé¼πâ½µ╣╛,δ▓╡Ω│¿δºî,Golf van Bengalen,Zatoka Bengalska,Golfo de Bengala,╨æ╨╡╨╜╨│╨░╨╗╤î╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Bengaliska viken,Bengal K├╢rfezi,vß╗ïnh Bengal,σ¡ƒσèáµïëτüú,1159115253,╪«┘ä█î╪¼ ╪¿┘å┌»╪º┘ä,╫₧╫ñ╫¿╫Ñ ╫æ╫á╫Æ╫£,╨æ╨╡╨╜╨│╨░╨╗╤î╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪«┘ä█î╪¼ ╪¿┘å┌»╪º┘ä,σ¡ƒσèáµïëτüú,Indian Ocean,Bay of Bengal
sea,Beaufort Sea,,Version 5.2,,mer de Beaufort,2.0,7.5,1,Beaufort Sea,Q131274,╪¿╪¡╪▒ ╪¿┘è┘ê┘ü┘ê╪▒╪¬,αª¼αºïαª½αºïαª░ αª╕αª╛αªùαª░,Beaufortsee,Beaufort Sea,mar de Beaufort,╬ÿ╬¼╬╗╬▒╧â╧â╬▒ ╬£╧Ç╬┐╧å╧î╧ü,αñ¼αÑìαñ»αÑéαñ½αÑïαñ░αÑìαñƒ αñ╕αñ╛αñùαñ░,Beaufort-tenger,Laut Beaufort,Mare di Beaufort,πâ£πâ╝πâòπé⌐πâ╝πâêµ╡╖,δ│┤φì╝φè╕φò┤,Beaufortzee,Morze Beauforta,Mar de Beaufort,╨£╨╛╤Ç╨╡ ╨æ╨╛╤ä╨╛╤Ç╤é╨░,Beauforthavet,Beaufort Denizi,Biß╗ân Beaufort,µ│óσ╝ùτë╣µ╡╖,1159115359,╪»╪▒█î╪º█î ╪¿┘ê┘ü┘ê╪▒╪¬,╫Ö╫¥ ╫æ╫ò╫ñ╫ò╫¿,╨£╨╛╤Ç╨╡ ╨æ╨╛╤ä╨╛╤Ç╤é╨░,╪¿╪¡█î╪▒█ü ╪¿█î┘ê┘ü┘ê╪▒╪¬,µ│óσ╝ùτë╣µ╡╖,Arctic Ocean,Beaufort Sea
gulf,Gulf of Mexico,,Version 5.2,,golfe du Mexique,2.0,7.5,1,Gulf of Mexico,Q12630,╪«┘ä┘è╪¼ ╪º┘ä┘à┘â╪│┘è┘â,αª«αºçαªòαºìαª╕αª┐αªòαºï αªëαª¬αª╕αª╛αªùαª░,Golf von Mexiko,Gulf of Mexico,Golfo de M├⌐xico,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬┐╧à ╬£╬╡╬╛╬╣╬║╬┐╧ì,αñ«αÑçαñòαÑìαñ╕αñ┐αñòαÑï αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Mexik├│i-├╢b├╢l,Teluk Meksiko,Golfo del Messico,πâíπé¡πé╖πé│µ╣╛,δ⌐ò∞ï£∞╜öδºî,Golf van Mexico,Zatoka Meksyka┼äska,Golfo do M├⌐xico,╨£╨╡╨║╤ü╨╕╨║╨░╨╜╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Mexikanska golfen,Meksika K├╢rfezi,vß╗ïnh M├⌐xico,σó¿ΦÑ┐σôÑµ╣╛,1159115399,╪«┘ä█î╪¼ ┘à┌⌐╪▓█î┌⌐,╫₧╫ñ╫¿╫Ñ ╫₧╫º╫í╫Ö╫º╫ò,╨£╨╡╨║╤ü╨╕╨║╨░╨╜╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪«┘ä█î╪¼ ┘à█î┌⌐╪│█î┌⌐┘ê,σó¿ΦÑ┐σôÑτüú,North Atlantic Ocean,Gulf of Mexico
sea,Labrador Sea,,Version 5.2,,mer du Labrador,2.0,7.5,1,Labrador Sea,Q184189,╪¿╪¡╪▒ ┘ä╪¿╪▒╪º╪»┘ê╪▒,αª▓αºìαª»αª╛αª¼αºìαª░αª╛αªíαª░ αª╕αª╛αªùαª░,Labradorsee,Labrador Sea,mar de Labrador,╬ÿ╬¼╬╗╬▒╧â╧â╬▒ ╧ä╬┐╧à ╬¢╬▒╬╝╧Ç╧ü╬▒╬╜╧ä╧î╧ü,αñ▓αÑêαñ¼αÑìαñ░αñ╛αñíαÑïαñ░ αñ╕αñ╛αñùαñ░,Labrador-tenger,Laut Labrador,Mare del Labrador,πâ⌐πâûπâ⌐πâëπâ½µ╡╖,δ₧ÿδ╕îδ¥╝δÅäφò┤,Labradorzee,Morze Labradorskie,Mar do Labrador,╨£╨╛╤Ç╨╡ ╨¢╨░╨▒╤Ç╨░╨┤╨╛╤Ç,Labradorhavet,Labrador Denizi,Biß╗ân Labrador,µïëσ╕âµïëσñÜµ╡╖,1159115419,╪»╪▒█î╪º█î ┘ä╪º╪¿╪▒╪º╪»┘ê╪▒,╫Ö╫¥ ╫£╫æ╫¿╫ô╫ò╫¿,╨£╨╛╤Ç╨╡ ╨¢╨░╨▒╤Ç╨░╨┤╨╛╤Ç,╪¿╪¡█î╪▒█ü ┘ä█î╪¿╪▒╪º┌ê╪º╪▒,µïëσ╕âµïëσñÜµ╡╖,North Atlantic Ocean,Labrador Sea
sea,Caspian Sea,,Version 5.2,,mer Caspienne,2.0,7.5,1,Caspian Sea,Q5484,╪¿╪¡╪▒ ┘é╪▓┘ê┘è┘å,αªòαª╛αª╕αºìαª¬αª┐αª»αª╝αª╛αª¿ αª╕αª╛αªùαª░,Kaspisches Meer,Caspian Sea,mar Caspio,╬Ü╬▒╧â╧Ç╬»╬▒ ╬ÿ╬¼╬╗╬▒╧â╧â╬▒,αñòαÑêαñ╕αÑìαñ¬αñ┐αñ»αñ¿ αñ╕αñ╛αñùαñ░,Kaszpi-tenger,Laut Kaspia,mar Caspio,πé½πé╣πâöµ╡╖,∞╣┤∞èñφö╝φò┤,Kaspische Zee,Morze Kaspijskie,Mar C├íspio,╨Ü╨░╤ü╨┐╨╕╨╣╤ü╨║╨╛╨╡ ╨╝╨╛╤Ç╨╡,Kaspiska havet,Hazar Denizi,Biß╗ân Caspi,ΦúÅµ╡╖,1159115461,╪»╪▒█î╪º█î ┘à╪º╪▓┘å╪»╪▒╪º┘å,╫ö╫Ö╫¥ ╫ö╫¢╫í╫ñ╫Ö,╨Ü╨░╤ü╨┐╤û╨╣╤ü╤î╨║╨╡ ╨╝╨╛╤Ç╨╡,╪¿╪¡█î╪▒█ü ┘é╪▓┘ê█î┘å,ΦúÅµ╡╖,Caspian Sea,Caspian Sea
gulf,Gulf of Alaska,,Version 5.2,,Golfe d'Alaska,2.0,7.5,1,Gulf of Alaska,Q180531,╪«┘ä┘è╪¼ ╪ú┘ä╪º╪│┘â╪º,αªåαª▓αª╛αª╕αºìαªòαª╛ αªëαª¬αª╕αª╛αªùαª░,Golf von Alaska,Gulf of Alaska,Golfo de Alaska,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬╖╧é ╬æ╬╗╬¼╧â╬║╬▒╧é,αñàαñ▓αñ╛αñ╕αÑìαñòαñ╛ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Alaszkai-├╢b├╢l,Teluk Alaska,golfo dell'Alaska,πéóπâ⌐πé╣πé½µ╣╛,∞òîδ₧ÿ∞èñ∞╣┤δºî,Golf van Alaska,Zatoka Alaska,Golfo do Alasca,╨É╨╗╤Å╤ü╨║╨╕╨╜╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Alaskagolfen,Alaska K├╢rfezi,Vß╗ïnh Alaska,Θÿ┐µïëµû»σèáµ╣╛,1159115503,╪«┘ä█î╪¼ ╪ó┘ä╪º╪│┌⌐╪º,╫₧╫ñ╫¿╫Ñ ╫É╫£╫í╫º╫ö,╨É╨╗╤Å╤ü╨║╨░,╪«┘ä█î╪¼ ╪º┘ä╪º╪│┌⌐╪º,Θÿ┐µïëµû»σèáτüú,North Pacific Ocean,Gulf of Alaska
sea,Celebes Sea,,Version 5.2,,mer de C├⌐l├¿bes,4.0,8.5,2,Celebes Sea,Q19270,╪¿╪¡╪▒ ╪│┘è┘ä┘è╪¿╪│,αª╕αºçαª▓αºçαª¼αª╕ αª╕αºÇ,Celebessee,Celebes Sea,mar de C├⌐lebes,╬ÿ╬¼╬╗╬▒╧â╧â╬▒ ╧ä╬╖╧é ╬Ü╬╡╬╗╬¡╬▓╬╖╧é,αñ╕αÑüαñ▓αñ╛αñ╡αÑçαñ╕αÑÇ αñ╕αñ╛αñùαñ░,Celebesz-tenger,Laut Sulawesi,mare di Celebes,πé╗πâ¼πâÖπé╣µ╡╖,∞êáδ¥╝∞¢¿∞ï£φò┤,Celebeszee,Morze Celebes,Mar de Celebes,╨í╤â╨╗╨░╨▓╨╡╤ü╨╕,Sulawesisj├╢n,Celebes Denizi,Biß╗ân Celebes,ΦÑ┐ΘçîΣ╝»µû»µ╡╖,1159115635,╪»╪▒█î╪º█î ╪│┘ä╪¿,╫Ö╫¥ ╫í╫£╫æ╫í,╨£╨╛╤Ç╨╡ ╨í╤â╨╗╨░╨▓╨╡╤ü╤û,╪¿╪¡█î╪▒█ü ╪│┘ä█î╪¿╪│,ΦÑ┐ΘçîΣ╝»µû»µ╡╖,South East Asia Seas,Celebes Sea
bay,Bay of Biscay,,Version 5.2,,golfe de Gascogne,4.0,8.5,2,Bay of Biscay,Q41573,╪«┘ä┘è╪¼ ╪║╪º╪│┘â┘ê┘å┘è╪º,αª¼αª┐αª╕αºìαªòαª╛αª»αª╝αª╛ αªëαª¬αª╕αª╛αªùαª░,Biskaya,Bay of Biscay,Golfo de Vizcaya,╬Æ╬╣╧â╬║╬▒╧è╬║╧î╧é ╬║╧î╬╗╧Ç╬┐╧é,αñ¼αñ┐αñ╕αÑìαñòαÑç αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Vizcayai-├╢b├╢l,Teluk Biscay,Golfo di Biscaglia,πâôπé╣πé▒πâ╝µ╣╛,δ╣ä∞èñ∞╝Ç∞¥┤δºî,Golf van Biskaje,Zatoka Biskajska,Golfo da Biscaia,╨æ╨╕╤ü╨║╨░╨╣╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Biscayabukten,Biskay K├╢rfezi,vß╗ïnh Biscay,µ»öµû»Θûïτüú,1159115749,╪«┘ä█î╪¼ ╪¿█î╪│┌⌐╪º█î,╫₧╫ñ╫¿╫Ñ ╫æ╫Ö╫í╫º╫É╫Ö╫ö,╨æ╤û╤ü╨║╨░╨╣╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪«┘ä█î╪¼ ╪¿╪│┌⌐█Æ,µ»öµû»Θûïτüú,North Atlantic Ocean,Bay of Biscay
gulf,Gulf of Guinea,,Version 5.2,,golfe de Guin├⌐e,4.0,8.5,2,Gulf of Guinea,Q41430,╪«┘ä┘è╪¼ ╪║┘è┘å┘è╪º,αªùαª┐αª¿αª┐ αªëαª¬αª╕αª╛αªùαª░,Golf von Guinea,Gulf of Guinea,Golfo de Guinea,╬Ü╧î╬╗╧Ç╬┐╧é ╧ä╬╖╧é ╬ô╬┐╧à╬╣╬╜╬¡╬▒╧é,αñùαñ┐αñ¿αÑÇ αñòαÑÇ αñûαñ╛αñíαñ╝αÑÇ,Guineai-├╢b├╢l,Teluk Guinea,Golfo di Guinea,πé«πâïπéóµ╣╛,Ω╕░δïêδºî,Golf van Guinee,Zatoka Gwinejska,Golfo da Guin├⌐,╨ô╨▓╨╕╨╜╨╡╨╣╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Guineabukten,Gine K├╢rfezi,Vß╗ïnh Guinea,σçáσåàΣ║Üµ╣╛,1159115791,╪«┘ä█î╪¼ ┌»█î┘å┘ç,╫₧╫ñ╫¿╫Ñ ╫Æ╫Ö╫á╫É╫ö,╨ô╨▓╤û╨╜╨╡╨╣╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪«┘ä█î╪¼ ┌»┘å█î,σçáσåàΣ║Üµ╣╛,North Atlantic Ocean,Gulf of Guinea
channel,Bristol Channel,,Version 1.4,,canal de Bristol,5.7,10.0,4,Bristol Channel,Q188203,┘é┘å╪º╪⌐ ╪¿╪▒╪│╪¬┘ä,αª¼αºìαª░αª┐αª╕αºìαªƒαª▓ αª¬αºìαª░αªúαª╛αª▓αºÇ,Bristolkanal,Bristol Channel,Canal de Bristol,╬Ü╬▒╬╜╬¼╬╗╬╣ ╧ä╬┐╧à ╬£╧Ç╧ü╬»╧â╧ä╬┐╬╗,αñ¼αÑìαñ░αñ┐αñ╕αÑìαñƒαñ▓ αñÜαÑêαñ¿αñ▓,Bristoli-csatorna,Selat Bristol,Canale di Bristol,πâûπâ¬πé╣πâêπâ½µ╡╖σ│í,δ╕îδª¼∞èñφïÇ φò┤φÿæ,Kanaal van Bristol,Kana┼é Bristolski,Canal de Bristol,╨æ╤Ç╨╕╤ü╤é╨╛╨╗╤î╤ü╨║╨╕╨╣ ╨╖╨░╨╗╨╕╨▓,Bristolkanalen,Bristol Kanal─▒,eo biß╗ân Bristol,σ╕âΘçîµû»µëÿµ╣╛,1159115891,┌⌐╪º┘å╪º┘ä ╪¿╪▒█î╪│╪¬┘ê┘ä,╫¬╫ó╫£╫¬ ╫æ╫¿╫Ö╫í╫ÿ╫ò╫£,╨æ╤Ç╤û╤ü╤é╨╛╨╗╤î╤ü╤î╨║╨░ ╨╖╨░╤é╨╛╨║╨░,╪¿╪▒╪│┘╣┘ä ┌å█î┘å┘ä,σ╕âΘçîµû»µëÿµ╣╛,North Atlantic Ocean,Bristol Channel
